Strategy,Group,Difference,Value
G1_20,Group_1,Diff_AUC,0.022335
G1_30,Group_1,Diff_AUC,0.02026
G1_40,Group_1,Diff_AUC,0.01403
G1_50,Group_1,Diff_AUC,0.02402
G2_30,Group_2,Diff_AUC,0.0389475
G2_40,Group_2,Diff_AUC,0.05981375
G2_50,Group_2,Diff_AUC,0.08449875
G3_50,Group_3,Diff_AUC,0.0124225
G3_R10,Group_3,Diff_AUC,0.023585
G3_R20,Group_3,Diff_AUC,0.021125
G4_50,Group_4,Diff_AUC,0.017085
G4_R05,Group_4,Diff_AUC,0.01967
G4_R10,Group_4,Diff_AUC,0.0205
G1_20,Group_1,Diff_F1,0.046509515
G1_30,Group_1,Diff_F1,0.04906475
G1_40,Group_1,Diff_F1,0.074056193
G1_50,Group_1,Diff_F1,0.10681924
G2_30,Group_2,Diff_F1,0.082211263
G2_40,Group_2,Diff_F1,0.116981409
G2_50,Group_2,Diff_F1,0.188810139
G3_50,Group_3,Diff_F1,0.026416176
G3_R10,Group_3,Diff_F1,0.033857429
G3_R20,Group_3,Diff_F1,0.030947551
G4_50,Group_4,Diff_F1,0.008288702
G4_R05,Group_4,Diff_F1,0.009518726
G4_R10,Group_4,Diff_F1,0.009895447
