Disease,Group,Strategy,Augmenter,AUC_ROC,AUC_PR,Accuracy,Precision,Recall,Specificity,F1,Len Aug_x,AUC_no_aug,F1_no_aug
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.7755,0.1319,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.7645,0.2009,0.948387097,0.6,0.176470588,0.993174061,0.272727273,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.7721,0.2173,0.948387097,0.6,0.176470588,0.993174061,0.272727273,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7587,0.2609,0.94516129,0.5,0.117647059,0.993174061,0.19047619,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.7715,0.239,0.94516129,0.5,0.176470588,0.989761092,0.260869565,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.7107,0.293,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.7179,0.1765,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.7013,0.1595,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.7774,0.2506,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.7581,0.2034,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7633,0.2572,0.94516129,0.5,0.117647059,0.993174061,0.19047619,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.7695,0.3015,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.7159,0.2234,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.7175,0.2886,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.728,0.2864,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.7009,0.2134,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.738,0.2465,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.749,0.282,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.5927,0.1789,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.6242,0.1591,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.5989,0.1468,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.6623,0.1944,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.6266,0.1243,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.63,0.1239,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.6009,0.1217,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.592,0.1991,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.725,0.215,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.6661,0.1516,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.6567,0.2619,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.6914,0.2313,0.948387097,1,0.058823529,1,0.111111111,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.6621,0.2105,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.6806,0.1976,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.6603,0.1712,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.6647,0.2323,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.7531,0.2133,0.948387097,1,0.058823529,1,0.111111111,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.7583,0.2243,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.7755,0.1319,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.7503,0.107,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.7464,0.1184,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7772,0.1672,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.733,0.1119,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.7545,0.18,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.7167,0.1356,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.7362,0.1492,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.7864,0.2157,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.7135,0.1435,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7402,0.1537,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.7918,0.162,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.7635,0.174,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.784,0.1736,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.7778,0.1495,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.7751,0.1898,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.7854,0.1829,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.7784,0.1715,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.6878,0.1459,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.6936,0.1686,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.6944,0.1511,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7338,0.1764,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.7177,0.1724,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.6499,0.1118,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.6394,0.1431,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.6412,0.1538,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.7061,0.1432,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.7047,0.186,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7177,0.1776,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.6958,0.1633,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.6362,0.1226,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.6306,0.1235,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.6489,0.126,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.6822,0.1424,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.6703,0.1423,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.6595,0.1592,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.6503,0.2257,0.948387097,1,0.058823529,1,0.111111111,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.639,0.1381,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.6192,0.1122,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.6621,0.2617,0.951612903,0.75,0.176470588,0.996587031,0.285714286,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.6386,0.1464,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.7151,0.2555,0.948387097,1,0.058823529,1,0.111111111,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.6198,0.1213,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.6192,0.1407,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.6489,0.2076,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.6404,0.2067,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.6916,0.2303,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.6699,0.2806,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.6641,0.2589,0.948387097,1,0.058823529,1,0.111111111,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.6778,0.2591,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.6792,0.2222,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.6942,0.2201,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.6804,0.235,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.6707,0.2391,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.678,0.2021,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.6932,0.2142,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.7015,0.15,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7721,0.2377,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.6948,0.2135,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
